invoice_no,invoice_date,customer_id,customer_name,state,sku_id,product_name,abc_class,qty,unit,rate_inr,taxable_value_inr,gst_pct,gst_amount_inr,total_inr,payment_status
INV-2022-00001,23-09-2022,CUST-008,Hyderabad Retail Hub,Telangana,PBP-001,Plate Basket Pipe,A,73,Pcs,338.54,24713.42,18,4448.42,29161.84,Overdue
INV-2022-00002,24-09-2022,CUST-002,Sharma Modular Kitchens,Delhi,GTP-001,GTPT,B,64,Pcs,409.72,26222.08,18,4719.97,30942.05,Overdue
INV-2022-00003,10-09-2022,CUST-009,Chandigarh Kitchens,Punjab,PBP-001,Plate Basket Pipe,A,51,Pcs,332.24,16944.24,18,3049.96,19994.2,Paid
INV-2022-00004,15-09-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,HNG-001,Hinges,B,87,Pcs,45.91,3994.17,18,718.95,4713.12,Paid
INV-2022-00005,15-09-2022,CUST-006,Rajasthan Home Mart,Rajasthan,CHM-001,Chimney,C,15,Pcs,3573.07,53596.05,28,15006.89,68602.94,Paid
INV-2022-00006,21-09-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,AAT-001,Aata Basket,C,111,Pcs,228,25308,28,7086.24,32394.24,Paid
INV-2022-00007,17-09-2022,CUST-006,Rajasthan Home Mart,Rajasthan,RSH-001,Rolling Shutter,C,112,Pcs,1840.49,206134.88,28,57717.77,263852.65,Paid
INV-2022-00008,28-09-2022,CUST-003,South India Hardware,Tamil Nadu,SC-001,Sheet Cutlery,A,87,Set,457.86,39833.82,18,7170.09,47003.91,Pending
INV-2022-00009,03-09-2022,CUST-003,South India Hardware,Tamil Nadu,TBW-001,Thali Basket Wire,A,40,Pcs,327.84,13113.6,18,2360.45,15474.05,Paid
INV-2022-00010,19-09-2022,CUST-007,Bengal Furniture House,West Bengal,TNB-001,Tandum Basket,B,14,Pcs,688.4,9637.6,18,1734.77,11372.37,Pending
INV-2022-00011,15-09-2022,CUST-006,Rajasthan Home Mart,Rajasthan,TNB-001,Tandum Basket,B,107,Pcs,663.26,70968.82,18,12774.39,83743.21,Paid
INV-2022-00012,11-09-2022,CUST-007,Bengal Furniture House,West Bengal,TNB-001,Tandum Basket,B,93,Pcs,672.87,62576.91,18,11263.84,73840.75,Paid
INV-2022-00013,16-09-2022,CUST-003,South India Hardware,Tamil Nadu,SC-001,Sheet Cutlery,A,76,Set,448.69,34100.44,18,6138.08,40238.52,Overdue
INV-2022-00014,25-09-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,BPO-001,Bottle Pull Out,A,43,Pcs,183.47,7889.21,18,1420.06,9309.27,Paid
INV-2022-00015,07-09-2022,CUST-008,Hyderabad Retail Hub,Telangana,HNG-001,Hinges,B,25,Pcs,44.08,1102,18,198.36,1300.36,Paid
INV-2022-00016,23-09-2022,CUST-003,South India Hardware,Tamil Nadu,CHM-001,Chimney,C,66,Pcs,3639.33,240195.78,28,67254.82,307450.6,Paid
INV-2022-00017,18-09-2022,CUST-002,Sharma Modular Kitchens,Delhi,TNB-001,Tandum Basket,B,79,Pcs,673.42,53200.18,18,9576.03,62776.21,Paid
INV-2022-00018,26-09-2022,CUST-003,South India Hardware,Tamil Nadu,PBP-001,Plate Basket Pipe,A,56,Pcs,341.91,19146.96,18,3446.45,22593.41,Paid
INV-2022-00019,08-09-2022,CUST-003,South India Hardware,Tamil Nadu,PNT-001,Pantry,B,111,Pcs,2210.08,245318.88,18,44157.4,289476.28,Paid
INV-2022-00020,26-09-2022,CUST-008,Hyderabad Retail Hub,Telangana,TNB-001,Tandum Basket,B,80,Pcs,665.78,53262.4,18,9587.23,62849.63,Paid
INV-2022-00021,13-09-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,PBW-001,Plate Basket Wire,A,101,Pcs,285.69,28854.69,18,5193.84,34048.53,Overdue
INV-2022-00022,27-09-2022,CUST-007,Bengal Furniture House,West Bengal,AAT-001,Aata Basket,C,83,Pcs,214.54,17806.82,28,4985.91,22792.73,Paid
INV-2022-00023,15-09-2022,CUST-008,Hyderabad Retail Hub,Telangana,PBW-001,Plate Basket Wire,A,97,Pcs,281.74,27328.78,18,4919.18,32247.96,Paid
INV-2022-00024,14-09-2022,CUST-003,South India Hardware,Tamil Nadu,PBP-001,Plate Basket Pipe,A,74,Pcs,351.47,26008.78,18,4681.58,30690.36,Paid
INV-2022-00025,05-09-2022,CUST-009,Chandigarh Kitchens,Punjab,BPO-001,Bottle Pull Out,A,48,Pcs,176.67,8480.16,18,1526.43,10006.59,Paid
INV-2022-00026,17-09-2022,CUST-006,Rajasthan Home Mart,Rajasthan,CS-001,Cup & Saucer,B,46,Set,97.78,4497.88,18,809.62,5307.5,Paid
INV-2022-00027,09-09-2022,CUST-009,Chandigarh Kitchens,Punjab,PNT-001,Pantry,B,26,Pcs,2230.25,57986.5,18,10437.57,68424.07,Overdue
INV-2022-00028,21-09-2022,CUST-009,Chandigarh Kitchens,Punjab,PBW-001,Plate Basket Wire,A,31,Pcs,283.2,8779.2,18,1580.26,10359.46,Overdue
INV-2022-00029,24-10-2022,CUST-010,MP Modular Traders,Madhya Pradesh,PBP-001,Plate Basket Pipe,A,87,Pcs,337.84,29392.08,18,5290.57,34682.65,Overdue
INV-2022-00030,03-10-2022,CUST-001,Agarwal Home Solutions,Maharashtra,TBW-001,Thali Basket Wire,A,15,Pcs,331.65,4974.75,18,895.46,5870.21,Overdue
INV-2022-00031,25-10-2022,CUST-004,Gujarat Kitchen World,Gujarat,GTP-001,GTPT,B,83,Pcs,419.65,34830.95,18,6269.57,41100.52,Paid
INV-2022-00032,10-10-2022,CUST-009,Chandigarh Kitchens,Punjab,MGC-001,Magic Corner,C,92,Pcs,4355.26,400683.92,28,112191.5,512875.42,Pending
INV-2022-00033,10-10-2022,CUST-007,Bengal Furniture House,West Bengal,CS-001,Cup & Saucer,B,68,Set,92.64,6299.52,18,1133.91,7433.43,Paid
INV-2022-00034,14-10-2022,CUST-008,Hyderabad Retail Hub,Telangana,PBP-001,Plate Basket Pipe,A,71,Pcs,340.85,24200.35,18,4356.06,28556.41,Paid
INV-2022-00035,28-10-2022,CUST-006,Rajasthan Home Mart,Rajasthan,TBP-001,Thali Basket Pipe,A,101,Pcs,377.09,38086.09,18,6855.5,44941.59,Paid
INV-2022-00036,25-10-2022,CUST-003,South India Hardware,Tamil Nadu,RSH-001,Rolling Shutter,C,57,Pcs,1810.89,103220.73,28,28901.8,132122.53,Paid
INV-2022-00037,15-10-2022,CUST-004,Gujarat Kitchen World,Gujarat,CRO-001,Crousal,B,25,Pcs,553.68,13842,18,2491.56,16333.56,Paid
INV-2022-00038,02-10-2022,CUST-002,Sharma Modular Kitchens,Delhi,TBP-001,Thali Basket Pipe,A,47,Pcs,393.75,18506.25,18,3331.12,21837.37,Overdue
INV-2022-00039,28-10-2022,CUST-004,Gujarat Kitchen World,Gujarat,AAT-001,Aata Basket,C,30,Pcs,225.93,6777.9,28,1897.81,8675.71,Overdue
INV-2022-00040,25-10-2022,CUST-004,Gujarat Kitchen World,Gujarat,CRO-001,Crousal,B,30,Pcs,562.73,16881.9,18,3038.74,19920.64,Overdue
INV-2022-00041,10-10-2022,CUST-008,Hyderabad Retail Hub,Telangana,CHM-001,Chimney,C,73,Pcs,3400.68,248249.64,28,69509.9,317759.54,Pending
INV-2022-00042,07-10-2022,CUST-004,Gujarat Kitchen World,Gujarat,CHM-001,Chimney,C,84,Pcs,3481.46,292442.64,28,81883.94,374326.58,Paid
INV-2022-00043,20-10-2022,CUST-008,Hyderabad Retail Hub,Telangana,HNG-001,Hinges,B,117,Pcs,45.71,5348.07,18,962.65,6310.72,Pending
INV-2022-00044,01-10-2022,CUST-009,Chandigarh Kitchens,Punjab,HNG-001,Hinges,B,118,Pcs,43.99,5190.82,18,934.35,6125.17,Paid
INV-2022-00045,25-10-2022,CUST-006,Rajasthan Home Mart,Rajasthan,GTP-001,GTPT,B,61,Pcs,418.16,25507.76,18,4591.4,30099.16,Pending
INV-2022-00046,18-10-2022,CUST-010,MP Modular Traders,Madhya Pradesh,TBW-001,Thali Basket Wire,A,34,Pcs,318.52,10829.68,18,1949.34,12779.02,Paid
INV-2022-00047,17-10-2022,CUST-007,Bengal Furniture House,West Bengal,PBW-001,Plate Basket Wire,A,67,Pcs,286.58,19200.86,18,3456.15,22657.01,Paid
INV-2022-00048,04-10-2022,CUST-003,South India Hardware,Tamil Nadu,BPO-001,Bottle Pull Out,A,60,Pcs,179.3,10758,18,1936.44,12694.44,Paid
INV-2022-00049,07-10-2022,CUST-003,South India Hardware,Tamil Nadu,TNB-001,Tandum Basket,B,87,Pcs,683.83,59493.21,18,10708.78,70201.99,Overdue
INV-2022-00050,02-10-2022,CUST-001,Agarwal Home Solutions,Maharashtra,TBW-001,Thali Basket Wire,A,27,Pcs,326.38,8812.26,18,1586.21,10398.47,Pending
INV-2022-00051,20-11-2022,CUST-003,South India Hardware,Tamil Nadu,CHM-001,Chimney,C,75,Pcs,3429.25,257193.75,28,72014.25,329208,Overdue
INV-2022-00052,13-11-2022,CUST-003,South India Hardware,Tamil Nadu,CRO-001,Crousal,B,88,Pcs,572.18,50351.84,18,9063.33,59415.17,Paid
INV-2022-00053,27-11-2022,CUST-009,Chandigarh Kitchens,Punjab,CRO-001,Crousal,B,75,Pcs,564.07,42305.25,18,7614.94,49920.19,Overdue
INV-2022-00054,27-11-2022,CUST-008,Hyderabad Retail Hub,Telangana,HNG-001,Hinges,B,12,Pcs,44.81,537.72,18,96.79,634.51,Paid
